Comment,Designator,Footprint,LCSC,Quantity
0.1uF,"C1,C13",C_0805_2012Metric,C126469,2
0.47 uH,L1,L_Coilcraft_XAL4020-XXX,C5837785,1
1 uF,"C12,C4",C_0805_2012Metric,C1712,2
1 µF,C5,C_0805_2012Metric,C1712,1
10 µF,C14,C_0805_2012Metric,C1713,1
100,"R23,R24,R26,R27",R_0402_1005Metric,C25076,4
100 nF,"C10,C11",C_0805_2012Metric,C1711,2
100K,"R20,R21,R6",R_0402_1005Metric,C25741,3
10K,"R1,R12,R13,R15,R17,R18,R19,R28,R8",R_0402_1005Metric,C25744,9
10uF,C7,C_0805_2012Metric,C1713,1
18K,R3,R_0402_1005Metric,C25762,1
1K,"R14,R2",R_0402_1005Metric,C11702,2
1M,R29,R_0402_1005Metric,C26083,1
1uF,C6,C_0805_2012Metric,C1712,1
22 nF,C8,C_0805_2012Metric,C51574,1
22 µF,C2,C_1210_3225Metric,C21397,1
300K,R11,R_0402_1005Metric,C138011,1
330,"R22,R25",R_0402_1005Metric,C25104,2
4K7,"R4,R5",R_0402_1005Metric,C174364,2
5.1 k,R30,R_0402_1005Metric,C25905,1
511K,R16,R_0402_1005Metric,C64042,1
5K1,"R10,R9",R_0402_1005Metric,C105872,2
68 nF,C9,C_0805_2012Metric,C1756,1
91K,R7,R_0402_1005Metric,C4147,1
AD623ARZ,U5,SOIC-8_3.9x4.9mm_P1.27mm,C9676,1
BQ25185DLHR,U2,Texas_DLH0010A_WSON-10-1EP_2.2x2mm_P0.4mm_EP0.9x1.5mm_ThermalVias,C19725033,1
Conn_01x02,CBAT1,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,C265016,1
Conn_01x02,"CPT1,Moteur1","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",C474896,2
Conn_01x07,J2,USB_C_Receptacle_GCT_USB4125-xx-x-0190_6P_TopMnt_Horizontal,C283540,1
Conn_01x08,J3,PinHeader_1x08_P2.54mm_Horizontal,C492416,1
DRV2605LDGS,U6,SSOP-10_3.9x4.9mm_P1.00mm,C527464,1
D_Zener,D2,D_SOD-123,C2112,1
ESP32-C6-WROOM-1,U1,ESP32-C6-WROOM-1,C5366877,1
Jumper_3_Bridged12,JP1,PinHeader_1x03_P2.54mm_Vertical,C49257,1
LED_RGBK,"LBAT1,L_INST1",LED_D5.0mm-4_RGB,C20613340,2
MAX17048G_T10,U3,SON50P200X200X80-9N,C2682616,1
MMBT3904,"Q1,Q2",SOT-23,C20526,2
SW_Push,SW1,SW_PUSH_6mm_H13mm,C22397147,1
TPS63802DLAR,U7,VREG_TPS63802DLAR,C2845237,1
