Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805_2012Metric,135.75,-65.75,180.0,top
C10,100 nF,C_0805_2012Metric,176.95,-82.5,0.0,bottom
C11,100 nF,C_0805_2012Metric,141.5,-91.0,180.0,top
C12,1 uF,C_0805_2012Metric,149.0,-82.45,-90.0,top
C13,0.1uF,C_0805_2012Metric,141.5,-88.25,180.0,top
C14,10 µF,C_0805_2012Metric,138.95,-70.0,0.0,top
C2,22 µF,C_1210_3225Metric,136.0,-81.5,0.0,bottom
C4,1 uF,C_0805_2012Metric,147.0,-67.55,-90.0,top
C5,1 µF,C_0805_2012Metric,129.0,-63.7,90.0,bottom
C6,1uF,C_0805_2012Metric,130.55,-82.5,180.0,top
C7,10uF,C_0805_2012Metric,135.0,-70.0,0.0,top
C8,22 nF,C_0805_2012Metric,130.75,-93.5,180.0,top
C9,68 nF,C_0805_2012Metric,136.7,-94.75,0.0,top
CBAT1,Conn_01x02,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,131.235,-63.75,-90.0,top
CPT1,Conn_01x02,"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",129.75,-87.75,-90.0,top
D2,D_Zener,D_SOD-123,127.0,-99.15,-90.0,top
J2,Conn_01x07,USB_C_Receptacle_GCT_USB4125-xx-x-0190_6P_TopMnt_Horizontal,129.585,-74.875,-90.0,top
J3,Conn_01x08,PinHeader_1x08_P2.54mm_Horizontal,172.865,-81.0,0.0,top
JP1,Jumper_3_Bridged12,PinHeader_1x03_P2.54mm_Vertical,157.96,-62.07,90.0,top
L1,0.47 uH,L_Coilcraft_XAL4020-XXX,140.935,-77.5,0.0,top
LBAT1,LED_RGBK,LED_D5.0mm-4_RGB,151.5,-99.3,90.0,top
L_INST1,LED_RGBK,LED_D5.0mm-4_RGB,158.75,-99.3,90.0,top
Moteur1,Conn_01x02,"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",143.75,-97.25,0.0,top
Q1,MMBT3904,SOT-23,180.4375,-85.95,180.0,bottom
Q2,MMBT3904,SOT-23,172.0625,-97.05,180.0,top
R1,10K,R_0402_1005Metric,137.75,-76.01,90.0,top
R10,5K1,R_0402_1005Metric,133.5,-76.75,90.0,top
R11,300K,R_0402_1005Metric,137.01,-84.0,180.0,top
R12,10K,R_0402_1005Metric,144.0,-78.99,270.0,bottom
R13,10K,R_0402_1005Metric,139.0,-83.5,-90.0,top
R14,1K,R_0402_1005Metric,136.5,-93.0,180.0,top
R15,10K,R_0402_1005Metric,148.25,-73.0,90.0,bottom
R16,511K,R_0402_1005Metric,140.5,-82.01,-90.0,top
R17,10K,R_0402_1005Metric,176.01,-87.5,0.0,bottom
R18,10K,R_0402_1005Metric,171.49,-99.5,180.0,top
R19,10K,R_0402_1005Metric,149.0,-92.51,0.0,top
R2,1K,R_0402_1005Metric,133.5,-80.01,90.0,top
R20,100K,R_0402_1005Metric,176.0,-85.5,180.0,bottom
R21,100K,R_0402_1005Metric,172.49,-93.5,180.0,top
R22,330,R_0402_1005Metric,157.0,-94.51,90.0,top
R23,100,R_0402_1005Metric,155.5,-94.51,90.0,top
R24,100,R_0402_1005Metric,154.0,-94.51,90.0,top
R25,330,R_0402_1005Metric,161.5,-94.51,90.0,top
R26,100,R_0402_1005Metric,160.0,-94.51,90.0,top
R27,100,R_0402_1005Metric,158.5,-94.51,90.0,top
R28,10K,R_0402_1005Metric,165.01,-79.0,180.0,bottom
R29,1M,R_0402_1005Metric,130.5,-96.51,90.0,top
R3,18K,R_0402_1005Metric,136.5,-79.5,0.0,top
R30,5.1 k,R_0402_1005Metric,142.5,-85.51,90.0,bottom
R4,4K7,R_0402_1005Metric,147.5,-76.5,90.0,top
R5,4K7,R_0402_1005Metric,145.5,-77.0,90.0,top
R6,100K,R_0402_1005Metric,141.5,-70.01,90.0,top
R7,91K,R_0402_1005Metric,143.26,-73.75,90.0,bottom
R8,10K,R_0402_1005Metric,161.5,-84.51,270.0,bottom
R9,5K1,R_0402_1005Metric,133.5,-74.5,-90.0,top
SW1,SW_Push,SW_PUSH_6mm_H13mm,166.25,-96.25,90.0,top
U1,ESP32-C6-WROOM-1,ESP32-C6-WROOM-1,160.25,-80.005,0.0,top
U2,BQ25185DLHR,Texas_DLH0010A_WSON-10-1EP_2.2x2mm_P0.4mm_EP0.9x1.5mm_ThermalVias,135.75,-75.5,-90.0,top
U3,MAX17048G_T10,SON50P200X200X80-9N,141.0,-65.5,0.0,top
U5,AD623ARZ,SOIC-8_3.9x4.9mm_P1.27mm,136.885,-88.475,-90.0,top
U6,DRV2605LDGS,SSOP-10_3.9x4.9mm_P1.00mm,146.25,-87.75,-90.0,top
U7,TPS63802DLAR,VREG_TPS63802DLAR,138.75,-73.0,0.0,top
